<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.27	20:00:00	3270.616	3275.500	3270.253	3274.526	4750	0	160
2025.06.29	22:00:00	3272.488	3274.249	3247.921	3263.811	18241	0	160
2025.06.29	23:00:00	3263.784	3270.950	3262.825	3263.806	9664	0	160
2025.06.30	00:00:00	3263.775	3269.786	3262.637	3264.626	9122	0	160
2025.06.30	01:00:00	3264.587	3275.962	3259.456	3273.862	14137	0	160
2025.06.30	02:00:00	3273.901	3283.293	3273.614	3280.186	9992	0	160
2025.06.30	03:00:00	3280.215	3282.798	3277.815	3278.981	6845	0	160
2025.06.30	04:00:00	3278.996	3286.282	3276.964	3285.686	5608	0	160
2025.06.30	05:00:00	3285.573	3291.407	3284.635	3288.997	7203	0	160
2025.06.30	06:00:00	3288.983	3295.551	3287.825	3292.123	8121	0	160
2025.06.30	07:00:00	3292.153	3296.850	3290.725	3292.873	7622	0	160
2025.06.30	08:00:00	3292.879	3296.594	3288.122	3289.186	7581	0	160
2025.06.30	09:00:00	3289.188	3289.188	3277.453	3287.791	10453	0	160
2025.06.30	10:00:00	3287.828	3288.833	3282.440	3283.455	5650	0	160
2025.06.30	11:00:00	3283.544	3283.821	3274.488	3277.932	8499	0	160
2025.06.30	12:00:00	3277.993	3288.981	3277.993	3282.089	8891	0	160
2025.06.30	13:00:00	3282.048	3287.062	3277.955	3284.791	12079	0	160
2025.06.30	14:00:00	3284.709	3289.576	3279.178	3287.627	11664	0	160
2025.06.30	15:00:00	3287.601	3290.761	3283.619	3289.625	8999	0	160
2025.06.30	16:00:00	3289.669	3297.510	3289.073	3297.227	6905	0	160
2025.06.30	17:00:00	3297.192	3298.607	3291.983	3294.048	6909	0	160
2025.06.30	18:00:00	3294.061	3299.606	3292.639	3298.414	5420	0	160
2025.06.30	19:00:00	3298.414	3309.450	3298.022	3308.534	7476	0	160
2025.06.30	20:00:00	3308.502	3309.330	3302.319	3303.195	4324	0	160
2025.06.30	22:00:00	3302.878	3314.602	3302.302	3311.423	5526	0	160
2025.06.30	23:00:00	3311.449	3312.582	3308.556	3312.441	5629	0	160
2025.07.01	00:00:00	3312.493	3314.839	3309.917	3314.722	6464	0	160
2025.07.01	01:00:00	3314.663	3320.968	3313.872	3317.842	9519	0	160
2025.07.01	02:00:00	3317.798	3319.425	3314.344	3316.124	7898	0	160
2025.07.01	03:00:00	3316.098	3322.683	3315.720	3321.161	6321	0	160
2025.07.01	04:00:00	3321.173	3323.108	3318.893	3322.980	4588	0	160
2025.07.01	05:00:00	3322.978	3332.368	3322.905	3328.707	7672	0	160
2025.07.01	06:00:00	3328.753	3334.567	3325.009	3331.300	7959	0	160
2025.07.01	07:00:00	3331.358	3339.931	3330.678	3339.497	9826	0	160
2025.07.01	08:00:00	3339.501	3342.422	3336.753	3339.525	7755	0	160
2025.07.01	09:00:00	3339.555	3348.070	3338.174	3345.800	7920	0	160
2025.07.01	10:00:00	3345.782	3349.680	3344.359	3348.643	6560	0	160
2025.07.01	11:00:00	3348.670	3353.082	3346.971	3349.017	8534	0	160
2025.07.01	12:00:00	3348.990	3358.015	3348.283	3354.683	12923	0	160
2025.07.01	13:00:00	3354.643	3355.520	3344.518	3351.512	15355	0	160
2025.07.01	14:00:00	3351.595	3354.405	3343.583	3345.678	15014	0	160
2025.07.01	15:00:00	3345.793	3346.684	3336.981	3340.228	13888	0	160
2025.07.01	16:00:00	3340.215	3343.523	3337.533	3341.723	8091	0	160
2025.07.01	17:00:00	3341.738	3342.197	3336.913	3339.695	7228	0	160
2025.07.01	18:00:00	3339.650	3339.921	3336.831	3337.967	4662	0	160
2025.07.01	19:00:00	3337.987	3340.155	3336.835	3338.005	5444	0	160
2025.07.01	20:00:00	3338.042	3340.363	3336.771	3338.959	3286	0	160
2025.07.01	22:00:00	3337.692	3343.826	3336.880	3341.515	5320	0	160
2025.07.01	23:00:00	3341.569	3341.874	3336.814	3338.152	5152	0	160
2025.07.02	00:00:00	3338.186	3344.999	3334.557	3339.009	9461	0	160
2025.07.02	01:00:00	3339.044	3342.877	3330.975	3332.194	10049	0	160
2025.07.02	02:00:00	3332.234	3338.225	3328.509	3336.737	8574	0	160
2025.07.02	03:00:00	3336.732	3342.063	3334.893	3339.959	6380	0	160
2025.07.02	04:00:00	3339.925	3342.033	3339.401	3340.084	4392	0	160
2025.07.02	05:00:00	3340.090	3343.951	3336.523	3338.756	6504	0	160
2025.07.02	06:00:00	3338.785	3339.366	3329.884	3333.507	8139	0	160
2025.07.02	07:00:00	3333.399	3336.836	3327.587	3334.571	9166	0	160
2025.07.02	08:00:00	3334.605	3338.054	3332.853	3333.558	6462	0	160
2025.07.02	09:00:00	3333.507	3342.298	3333.033	3341.636	6936	0	160
2025.07.02	10:00:00	3341.686	3345.758	3340.583	3344.261	5157	0	160
2025.07.02	11:00:00	3344.298	3347.752	3339.708	3342.199	6445	0	160
2025.07.02	12:00:00	3342.214	3351.128	3337.733	3346.621	14231	0	160
2025.07.02	13:00:00	3346.595	3346.620	3334.900	3337.440	14970	0	160
2025.07.02	14:00:00	3337.479	3343.599	3333.842	3342.961	9995	0	160
2025.07.02	15:00:00	3342.998	3343.803	3338.677	3341.021	9209	0	160
2025.07.02	16:00:00	3340.943	3349.237	3340.943	3348.668	7184	0	160
2025.07.02	17:00:00	3348.626	3350.572	3347.403	3349.622	5295	0	160
2025.07.02	18:00:00	3349.656	3355.215	3348.486	3354.906	4526	0	160
2025.07.02	19:00:00	3354.913	3359.519	3354.558	3358.258	5195	0	160
2025.07.02	20:00:00	3358.302	3360.174	3355.540	3357.315	3520	0	160
2025.07.02	22:00:00	3358.427	3365.726	3358.411	3361.937	5330	0	160
2025.07.02	23:00:00	3361.958	3362.315	3348.754	3349.395	8945	0	160
2025.07.03	00:00:00	3349.420	3349.895	3343.471	3344.788	7620	0	160
2025.07.03	01:00:00	3344.857	3348.183	3341.880	3345.975	7845	0	160
2025.07.03	02:00:00	3345.994	3351.399	3345.724	3350.965	5929	0	160
2025.07.03	03:00:00	3351.008	3351.471	3345.487	3347.509	5012	0	160
2025.07.03	04:00:00	3347.437	3351.834	3347.384	3350.834	4334	0	160
2025.07.03	05:00:00	3350.722	3360.459	3350.152	3359.279	6886	0	160
2025.07.03	06:00:00	3359.345	3363.677	3356.482	3361.859	7548	0	160
2025.07.03	07:00:00	3361.823	3363.116	3352.628	3353.077	7729	0	160
2025.07.03	08:00:00	3353.096	3358.383	3351.678	3356.225	6472	0	160
2025.07.03	09:00:00	3356.183	3356.423	3343.772	3345.687	7785	0	160
2025.07.03	10:00:00	3345.673	3355.368	3344.745	3353.040	6118	0	160
2025.07.03	11:00:00	3353.077	3353.717	3342.981	3346.073	6850	0	160
2025.07.03	12:00:00	3346.041	3352.308	3311.535	3324.487	29260	0	160
2025.07.03	13:00:00	3324.519	3338.551	3322.071	3332.223	21252	0	160
2025.07.03	14:00:00	3332.228	3334.704	3323.441	3324.643	15335	0	160
